short_name	name
cfaA	CFA/I_CfaA_chaperone
cfaB	CFA/I_CfaB_major_subunit
cfaC	CFA/I_CfaC_outer_membrane_usher
cfaE	CFA/I_CfaE_minor_subunit
cfaD	CFA/I_CfaD_truncated_regulator
cooB	CS1_CooB_chaperone
cooA	CS1_CooA_major_subunit
cooC	CS1_CooC_outer_membrane_usher
cooD	CS1_CooD_minor_adhesin
cotB	CS2_CotB_chaperone
cotA	CS2_CotA_major_subunit
cotC	CS2_CotC_outer_membrane_usher
cotD	CS2_CotD_minor_subunit
cstA	CS3_CstA_chaperone
cstB	CS3_CstB_outer_membrane_usher_until_TAG
cstG	CS3_CstG_minor_subunit/adhesin/pilin
cstH	CS3_CstH_major_subunit
csaA	CS4_CsaA_chaperone
csaB	CS4_CsaB_major_subunit
csaC	CS4_CsaC_outer_membrane_usher
csaE	CS4_CsaE_minor_subunit/adhesin/pilin
csaD	CS4_CsaD_regulator
csfA	CS5_CsfA_major_subunit
csfB	CS5_CsfB_chaperone_for_CsfA
csfC	CS5_CsfC_outer_membrane_usher
csfE	CS5_CsfE_second_minor_subunit
csfF	CS5_CsfF_chaperone_for_CsfE
csfD	CS5_CsfD_second_minor_subunit
cssA2	CS6_CssA2_major_subunit_A_subtype_A2
cssB2	CS6_CssB2_major_subunit_B_subtype_B2
cssC	CS6_CssC_chaperone
cssD	CS6_CssD_outer_membrane_usher
cssA3	CS6_CssA3_major_subunit_A_subtype_A3
cssB1	CS6_CssB1_major_subunit_B_subtype_B1
cssA7	CS6_CssA7_major_subunit_A_subtype_A7
cssB3	CS6_CssB3_major_subunit_B_subtype_B3
csvA	CS7_CsvA_major_subunit
csvB	CS7_CsvB_chaperone_for_CsvA
csvC	CS7_CsvC_outer_membrane_usher
csvE	CS7_CsvE_minor_subunit
csvF	CS7_CsvF_chaperone_for_CsvE
csvD	CS7_CsvD_second_minor_subunit
cofR	CS8_CofR_regulator
cofS	CS8_CofS_unknown_function
cofT	CS8_CofT_unknown_function
cofA	CS8_CofA_major_subunit
cofB	CS8_CofB_unknown_function
cofC	CS8_CofC_unknown_function
cofD	CS8_CofD_outer_membrane_usher
cofE	CS8_CofE_anchoring_function
cofF	CS8_CofF_unknown_function
cofG	CS8_CofG_periplasmic_protein
cofH	CS8_CofH_unknown_function
cofI	CS8_CofI_unknown_function
cofJ	CS8_CofJ_unknown_function
cofP	CS8_CofP_prepilin_peptidase
cswA	CS12_CswA_major_subunit
cswB	CS12_CswB_chaperone
