cf	gene	required
CFA/I	cfaA	TRUE
CFA/I	cfaB	TRUE
CFA/I	cfaC	TRUE
CFA/I	cfaE	TRUE
CFA/I	cfaD	FALSE
CS1	cooB	TRUE
CS1	cooA	TRUE
CS1	cooC	TRUE
CS1	cooD	TRUE
CS13	cshA	TRUE
CS13	cshB	TRUE
CS13	cshC	TRUE
CS13	cshD	TRUE
CS13	cshE	TRUE
CS13	cshF	TRUE
CS13	cshG	TRUE
CS14	csuB	TRUE
CS14	csuA1	TRUE
CS14	csuA2	TRUE
CS14	csuC	TRUE
CS14	csuD	TRUE
CS2	cotB	TRUE
CS2	cotA	TRUE
CS2	cotC	TRUE
CS2	cotD	TRUE
CS20	csnA	TRUE
CS20	csnB	TRUE
CS20	csnC	TRUE
CS20	csnD	TRUE
CS20	csnE	TRUE
CS20	csnF	TRUE
CS20	csnG	TRUE
CS21	lngX1	FALSE
CS21	lngR	FALSE
CS21	lngS	FALSE
CS21	lngT	TRUE
CS21	lngX2	TRUE
CS21	lngA	TRUE
CS21	lngB	TRUE
CS21	lngC	TRUE
CS21	lngD	TRUE
CS21	lngE	TRUE
CS21	lngF	TRUE
CS21	lngG	TRUE
CS21	lngH	TRUE
CS21	lngI	TRUE
CS21	lngJ	TRUE
CS21	lngP	TRUE
CS23	aalR	FALSE
CS23	aalA	TRUE
CS23	aalB	TRUE
CS23	aalC	TRUE
CS23	aalD	TRUE
CS23	aalE	TRUE
CS23	aalF	TRUE
CS23	aalG	TRUE
CS23	aalH	TRUE
CS3	cstA	TRUE
CS3	cstB	TRUE
CS3	cstG	TRUE
CS3	cstH	TRUE
CS31	clpB	FALSE
CS31	clpC	TRUE
CS31	clpD	TRUE
CS31	clpE	TRUE
CS31	clpF	TRUE
CS31	clpG	TRUE
CS31	clpH	TRUE
CS31	clpI	TRUE
CS31	clpJ	TRUE
CS5	csfA	TRUE
CS5	csfB	TRUE
CS5	csfC	TRUE
CS5	csfE	TRUE
CS5	csfF	TRUE
CS5	csfD	TRUE
CS6	cssA:cssA2,cssA3,cssA7	TRUE
CS6	cssB:cssB2,cssB1,cssB3	TRUE
CS6	cssC	TRUE
CS6	cssD	TRUE
CS7	csvA	TRUE
CS7	csvB	TRUE
